Qualification Code;Phases Code;Phases Description;Phases Purpose;SubjectCode;Subject Description;Subject Credits;Subject NQF Level;Subject Percentage
94020;652302000-KM-01;Basic engineering;The main focus of the learning in this knowledge module is the introduction to basic engineering concepts commonly associated with mechanical engineering trades;KM-01-KT01;Introduction to the Fitting and Turning Trade;2;3;5
94020;652302000-KM-01;Basic engineering;The main focus of the learning in this knowledge module is the introduction to basic engineering concepts commonly associated with mechanical engineering trades;KM-01-KT02;Workplace health, safety and environmental protection;6;3;20
94020;652302000-KM-01;Basic engineering;The main focus of the learning in this knowledge module is the introduction to basic engineering concepts commonly associated with mechanical engineering trades;KM-01-KT03;Engineering drawings;3;3;10
94020;652302000-KM-01;Basic engineering;The main focus of the learning in this knowledge module is the introduction to basic engineering concepts commonly associated with mechanical engineering trades;KM-01-KT04;Engineering materials;3;3;10
94020;652302000-KM-01;Basic engineering;The main focus of the learning in this knowledge module is the introduction to basic engineering concepts commonly associated with mechanical engineering trades;KM-01-KT05;Engineering tools and equipment;5;3;15
94020;652302000-KM-01;Basic engineering;The main focus of the learning in this knowledge module is the introduction to basic engineering concepts commonly associated with mechanical engineering trades;KM-01-KT06;Basic lifting concepts;3;3;8
94020;652302000-KM-01;Basic engineering;The main focus of the learning in this knowledge module is the introduction to basic engineering concepts commonly associated with mechanical engineering trades;KM-01-KT07;Types and applications of screw threads;3;3;8
94020;652302000-KM-01;Basic engineering;The main focus of the learning in this knowledge module is the introduction to basic engineering concepts commonly associated with mechanical engineering trades;KM-01-KT08;Types and function of locking devices and fasteners;3;3;8
94020;652302000-KM-01;Basic engineering;The main focus of the learning in this knowledge module is the introduction to basic engineering concepts commonly associated with mechanical engineering trades;KM-01-KT09;Principles, equipment and methods of arc welding, gas cutting, brazing and silver soldering;3;3;8
94020;652302001-KM-02;Fitting Theory;The main focus of the learning in this knowledge module is the introduction to basic engineering concepts commonly associated with mechanical engineering trades;KM-02-KT01;Static and dynamic seals and gaskets ;3;4;8
94020;652302001-KM-02;Fitting Theory;The main focus of the learning in this knowledge module is the introduction to basic engineering concepts commonly associated with mechanical engineering trades;KM-02-KT02;Types, and application of bearings ;3;4;8
94020;652302001-KM-02;Fitting Theory;The main focus of the learning in this knowledge module is the introduction to basic engineering concepts commonly associated with mechanical engineering trades;KM-02-KT03;Types and application of valves ;3;4;8
94020;652302001-KM-02;Fitting Theory;The main focus of the learning in this knowledge module is the introduction to basic engineering concepts commonly associated with mechanical engineering trades;KM-02-KT04;Types and application of drives ;3;4;8
94020;652302001-KM-02;Fitting Theory;The main focus of the learning in this knowledge module is the introduction to basic engineering concepts commonly associated with mechanical engineering trades;KM-02-KT05;Types and application of pumps ;3;4;8
94020;652302001-KM-02;Fitting Theory;The main focus of the learning in this knowledge module is the introduction to basic engineering concepts commonly associated with mechanical engineering trades;KM-02-KT06;Mechanical working principles, types and applications of reduction gearboxes;3;4;8
94020;652302001-KM-02;Fitting Theory;The main focus of the learning in this knowledge module is the introduction to basic engineering concepts commonly associated with mechanical engineering trades;KM-02-KT07;Mechanical working principles, types and applications of clutches ;3;4;8
94020;652302001-KM-02;Fitting Theory;The main focus of the learning in this knowledge module is the introduction to basic engineering concepts commonly associated with mechanical engineering trades;KM-02-KT08;Mechanical working principles, types and applications of brakes ;3;4;8
94020;652302001-KM-02;Fitting Theory;The main focus of the learning in this knowledge module is the introduction to basic engineering concepts commonly associated with mechanical engineering trades;KM-02-KT09;Mechanical working principles, types and applications of lubrication systems;3;4;8
94020;652302001-KM-02;Fitting Theory;The main focus of the learning in this knowledge module is the introduction to basic engineering concepts commonly associated with mechanical engineering trades;KM-02-KT10;Mechanical working principles, types and applications of hydraulic systems;3;4;8
94020;652302001-KM-02;Fitting Theory;The main focus of the learning in this knowledge module is the introduction to basic engineering concepts commonly associated with mechanical engineering trades;KM-02-KT11;Mechanical working principles, types and applications of pneumatic systems;3;4;8
94020;652302001-KM-02;Fitting Theory;The main focus of the learning in this knowledge module is the introduction to basic engineering concepts commonly associated with mechanical engineering trades;KM-02-KT12;Types and functions of conveyors ;3;4;8
94020;652302001-KM-02;Fitting Theory;The main focus of the learning in this knowledge module is the introduction to basic engineering concepts commonly associated with mechanical engineering trades;KM-02-KT13;Diagnostic techniques ;2;4;5
94020;652302001-KM-03;Machining Theory;The main focus of the learning in this knowledge module is the introduction to basic engineering concepts commonly associated with mechanical engineering trades;KM-03-KT01;Principles, methods and techniques of fabrication ;4;4;10
94020;652302001-KM-03;Machining Theory;The main focus of the learning in this knowledge module is the introduction to basic engineering concepts commonly associated with mechanical engineering trades;KM-03-KT02;Principles, methods and techniques of machining work pieces with a centre lathe;11;4;30
94020;652302001-KM-03;Machining Theory;The main focus of the learning in this knowledge module is the introduction to basic engineering concepts commonly associated with mechanical engineering trades;KM-03-KT03;Principles, methods and techniques of machining work pieces with a milling machine;9;4;25
94020;652302001-KM-03;Machining Theory;The main focus of the learning in this knowledge module is the introduction to basic engineering concepts commonly associated with mechanical engineering trades;KM-03-KT04;Types and working principles of pedestal grinding machine ;4;4;10
94020;652302001-KM-03;Machining Theory;The main focus of the learning in this knowledge module is the introduction to basic engineering concepts commonly associated with mechanical engineering trades;KM-03-KT05;Principles, methods and techniques of machining work pieces with surface and cylindrical grinding machines;9;4;25
;;;;;;;;
;;;;;;;;36
